Timestamp,Created At,machine.status,plc_reason,job.count,alarm1,alarm2,co2_consumption,job.value,rejection.count,rejection.value,concentrate_consumption,co2_flow,connection_status,concentrate_value,reason.code,part2.code,casepacker_selection,operation2.code,operation.code,rejection.code,part.code,rejection2.value,rejection2.code,program2.code,program.code,channelA_value,channelB_value,pack_size,speed,light_red,light_green,light_amber,channelB_count,channelA_count,total_pallets,total_packs,line_stop,alarm5,alarm3,alarm4,alarm6,reason2.code,operator.code,set_machine_speed,mode,Glue_Roller_Temperature,Glue_Bowl_Temperature,Label_Length,beverage_brix,syrup_brix,Beverage_Flow_Rate,beverage_temperature,state,inlet_counter,inlet_counter_value,Inlet_counter_bottles,machine_cycle_status,total_rejection_counter,cooling_ckt_1,cooling_ckt_2,state2,program,power_consumed,Total_energy_consumed,alarm_id,warning_message,rejection6value,rejection3value,rejection4value,rejection5value,rejection7value,rejection8value,rejection9value,rejection1value,rejection2value,VoltageL1,VoltageL2,CurrentL1,VoltageL3,CurrentL2,CurrentL3,vibration,co2_consumption_value,energy_state,total_actual_energy,FirstFault_MessageNumber,FirstFault_SystemNumber,last_notice,drive_id,operating_hours,Warning_MessageNumber,Warning_SystemNumber,bev_meter,bm_meter,bev_meter_kwh,bm_meter_kwh
00:08.7,00:14.6,0,,72.29952,,,,,,,,,,,c,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
00:10.9,00:14.9,1,,72.68517,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
00:19.7,00:40.9,0,,72.27476,,,,,,,,,,,c,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
00:21.9,00:40.6,1,,72.645256,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
00:30.7,00:41.0,0,,72.40223,,,,,,,,,,,c,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
00:32.9,00:41.0,1,,72.863655,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:01.6,01:10.6,0,,72.114174,,,,,,,,,,,c,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:03.8,01:16.9,1,,72.52487,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:10.1,01:18.6,1,,72.02819,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:12.3,01:18.6,0,,72.17603,,,,,,,,,,,c,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:14.5,01:20.9,1,,72.653725,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:23.3,01:26.9,0,,72.38991,,,,,,,,,,,c,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:25.5,01:32.9,1,,72.74584,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
01:43.2,01:48.9,0,,72.20837,,,,,,,,,,,Filler is Down,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2026,14001,,,,
01:45.4,01:50.6,1,,72.585884,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2026,14001,,,,
01:54.2,01:58.9,0,,72.21341,,,,,,,,,,,Filler is Down,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2026,14001,,,,
01:56.4,01:58.9,1,,72.58813,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2026,14001,,,,
02:11.8,02:14.6,0,,72.002914,,,,,,,,,,,Filler is Down,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2026,14001,,,,
02:16.2,02:20.9,0,,72.91574,,,,,,,,,,,Filler is Down,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2026,14001,,,,
02:25.0,02:32.6,1,,74.93732,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
02:27.2,02:32.6,0,,75.30462,,,,,,,,,,,Filler is Down,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
02:29.4,02:36.6,1,,75.693695,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
02:33.8,02:36.6,0,,76.11681,,,,,,,,,,,Filler is Down,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
02:36.0,02:42.9,1,,76.40889,,,,,,,,,,,0,,,,10,,,,,,12,,,,,,,,,,,,,,,,,,,,8,,,,,,,,128,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,2024,14001,,,,
